nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.162571907043457031e-01 -2.874436378479003906e-01 -3.865261077880859375e-01 -3.863389492034912109e-01 -3.459484577178955078e-01 -3.590250015258789062e-01 -3.570697307586669922e-01 -3.411087989807128906e-01 -3.313386440277099609e-01 -3.239598274230957031e-01 -3.200566768646240234e-01 -3.165864944458007812e-01 -3.125600814819335938e-01 -3.087258338928222656e-01 -3.048050403594970703e-01 -3.006255626678466797e-01 -2.963591814041137695e-01 -2.920039892196655273e-01 -2.875888347625732422e-01 -2.832777500152587891e-01 -2.792426347732543945e-01 -2.756029367446899414e-01 -2.724195718765258789e-01 -2.697286605834960938e-01 -2.675679326057434082e-01 -2.659797668457031250e-01 -2.650054097175598145e-01 -1.323382854461669922e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.184706687927246094e-01 -2.947177886962890625e-01 -3.992352485656738281e-01 -4.005727767944335938e-01 -3.595471382141113281e-01 -3.736858367919921875e-01 -3.733205795288085938e-01 -3.609859943389892578e-01 -3.588113784790039062e-01 -3.542098999023437500e-01 -3.453836441040039062e-01 -3.373994827270507812e-01 -3.307757377624511719e-01 -3.257288932800292969e-01 -3.213539123535156250e-01 -3.171150684356689453e-01 -3.130133152008056641e-01 -3.089416027069091797e-01 -3.048267364501953125e-01 -3.006988763809204102e-01 -2.965812683105468750e-01 -2.925204038619995117e-01 -2.886109352111816406e-01 -2.849594354629516602e-01 -2.816541194915771484e-01 -2.787564992904663086e-01 -2.763115167617797852e-01 -2.743575572967529297e-01 -2.729296684265136719e-01 -2.720584869384765625e-01 -1.358827352523803711e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.403512954711914062e-01 -3.552474975585937500e-01 -3.940610885620117188e-01 -3.664474487304687500e-01 -3.861584663391113281e-01 -3.880066871643066406e-01 -3.764863014221191406e-01 -3.753495216369628906e-01 -3.722710609436035156e-01 -3.658635616302490234e-01 -3.610243797302246094e-01 -3.555741310119628906e-01 -3.488171100616455078e-01 -3.421001434326171875e-01 -3.360137939453125000e-01 -3.307292461395263672e-01 -3.259859085083007812e-01 -3.215329647064208984e-01 -3.172702789306640625e-01 -3.131215572357177734e-01 -3.090410232543945312e-01 -3.050282001495361328e-01 -3.011018037796020508e-01 -2.973004579544067383e-01 -2.936863899230957031e-01 -2.903302907943725586e-01 -2.872972488403320312e-01 -2.846407890319824219e-01 -2.824035882949829102e-01 -2.806209325790405273e-01 -2.793228626251220703e-01 -2.785333395004272461e-01 -1.391341686248779297e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.407523155212402344e-01 -3.479585647583007812e-01 -4.685921669006347656e-01 -4.675436019897460938e-01 -4.128594398498535156e-01 -4.027118682861328125e-01 -3.908519744873046875e-01 -3.909454345703125000e-01 -3.888087272644042969e-01 -3.830399513244628906e-01 -3.789563179016113281e-01 -3.745503425598144531e-01 -3.691725730895996094e-01 -3.638491630554199219e-01 -3.582453727722167969e-01 -3.522109985351562500e-01 -3.461692333221435547e-01 -3.404505252838134766e-01 -3.351888656616210938e-01 -3.303270339965820312e-01 -3.257601261138916016e-01 -3.214135169982910156e-01 -3.172333240509033203e-01 -3.131878376007080078e-01 -3.092714548110961914e-01 -3.054969310760498047e-01 -3.018934726715087891e-01 -2.985037565231323242e-01 -2.953776121139526367e-01 -2.925640344619750977e-01 -2.901061773300170898e-01 -2.880409359931945801e-01 -2.863995432853698730e-01 -2.852074503898620605e-01 -2.844838500022888184e-01 -1.421205997467041016e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.473121643066406250e-01 -3.636622428894042969e-01 -4.877252578735351562e-01 -4.864263534545898438e-01 -4.345312118530273438e-01 -4.499220848083496094e-01 -4.466342926025390625e-01 -4.259347915649414062e-01 -4.130754470825195312e-01 -4.033036231994628906e-01 -3.979611396789550781e-01 -3.932437896728515625e-01 -3.879098892211914062e-01 -3.828845024108886719e-01 -3.778018951416015625e-01 -3.724267482757568359e-01 -3.669533729553222656e-01 -3.613476753234863281e-01 -3.556118011474609375e-01 -3.499157428741455078e-01 -3.444304466247558594e-01 -3.392481803894042969e-01 -3.343729972839355469e-01 -3.297677040100097656e-01 -3.253908157348632812e-01 -3.212099075317382812e-01 -3.172054290771484375e-01 -3.133726119995117188e-01 -3.097211122512817383e-01 -3.062725067138671875e-01 -3.030577898025512695e-01 -3.001127243041992188e-01 -2.974747419357299805e-01 -2.951786518096923828e-01 -2.932546734809875488e-01 -2.917291522026062012e-01 -2.906234264373779297e-01 -2.899532914161682129e-01 -1.448643803596496582e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.519732475280761719e-01 -3.773164749145507812e-01 -5.093836784362792969e-01 -5.096273422241210938e-01 -4.559488296508789062e-01 -4.723339080810546875e-01 -4.705700874328613281e-01 -4.538173675537109375e-01 -4.499316215515136719e-01 -4.431371688842773438e-01 -4.311685562133789062e-01 -4.203515052795410156e-01 -4.113254547119140625e-01 -4.043531417846679688e-01 -3.982949256896972656e-01 -3.924708366394042969e-01 -3.868708610534667969e-01 -3.813443183898925781e-01 -3.757796287536621094e-01 -3.701913356781005859e-01 -3.645799160003662109e-01 -3.589723110198974609e-01 -3.534512519836425781e-01 -3.481073379516601562e-01 -3.430006504058837891e-01 -3.381495475769042969e-01 -3.335459232330322266e-01 -3.291721343994140625e-01 -3.250105381011962891e-01 -3.210511207580566406e-01 -3.172924518585205078e-01 -3.137426376342773438e-01 -3.104180097579956055e-01 -3.073415756225585938e-01 -3.045408725738525391e-01 -3.020440340042114258e-01 -2.998787164688110352e-01 -2.980698347091674805e-01 -2.966389656066894531e-01 -2.956037521362304688e-01 -2.949771881103515625e-01 -1.473836898803710938e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.819553375244140625e-01 -4.593906402587890625e-01 -5.080118179321289062e-01 -4.705915451049804688e-01 -4.938945770263671875e-01 -4.945135116577148438e-01 -4.781708717346191406e-01 -4.750914573669433594e-01 -4.697031974792480469e-01 -4.602355957031250000e-01 -4.528493881225585938e-01 -4.448151588439941406e-01 -4.352521896362304688e-01 -4.258351325988769531e-01 -4.172940254211425781e-01 -4.098310470581054688e-01 -4.031109809875488281e-01 -3.968086242675781250e-01 -3.907842636108398438e-01 -3.849253654479980469e-01 -3.791556358337402344e-01 -3.734509944915771484e-01 -3.678085803985595703e-01 -3.622469902038574219e-01 -3.568096160888671875e-01 -3.515470027923583984e-01 -3.464968204498291016e-01 -3.416786193847656250e-01 -3.370952606201171875e-01 -3.327407836914062500e-01 -3.286089897155761719e-01 -3.246960639953613281e-01 -3.210034370422363281e-01 -3.175388574600219727e-01 -3.143149614334106445e-01 -3.113499879837036133e-01 -3.086649179458618164e-01 -3.062816858291625977e-01 -3.042223453521728516e-01 -3.025070428848266602e-01 -3.011533021926879883e-01 -3.001754283905029297e-01 -2.995842695236206055e-01 -1.496932506561279297e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan -1.860008239746093750e-01 -4.584350585937500000e-01 -6.141395568847656250e-01 -6.101350784301757812e-01 -5.362319946289062500e-01 -5.206832885742187500e-01 -5.031437873840332031e-01 -5.010905265808105469e-01 -4.963603019714355469e-01 -4.871301651000976562e-01 -4.801583290100097656e-01 -4.729156494140625000e-01 -4.645729064941406250e-01 -4.564156532287597656e-01 -4.480204582214355469e-01 -4.391899108886718750e-01 -4.304432868957519531e-01 -4.221835136413574219e-01 -4.145669937133789062e-01 -4.075098037719726562e-01 -4.008674621582031250e-01 -3.945312500000000000e-01 -3.884172439575195312e-01 -3.824667930603027344e-01 -3.766496181488037109e-01 -3.709566593170166016e-01 -3.653969764709472656e-01 -3.599932193756103516e-01 -3.547735214233398438e-01 -3.497619628906250000e-01 -3.449735641479492188e-01 -3.404147624969482422e-01 -3.360865116119384766e-01 -3.319885730743408203e-01 -3.281209468841552734e-01 -3.244869709014892578e-01 -3.210939168930053711e-01 -3.179531097412109375e-01 -3.150786161422729492e-01 -3.124868869781494141e-01 -3.101956844329833984e-01 -3.082221746444702148e-01 -3.065826296806335449e-01 -3.052914142608642578e-01 -3.043603301048278809e-01 -3.037980794906616211e-01 -1.518050432205200195e-01
nan nan nan nan nan nan nan nan nan nan -1.992216110229492188e-01 -4.899978637695312500e-01 -6.529722213745117188e-01 -6.477632522583007812e-01 -5.751628875732421875e-01 -5.918941497802734375e-01 -5.845527648925781250e-01 -5.547189712524414062e-01 -5.353479385375976562e-01 -5.202083587646484375e-01 -5.109615325927734375e-01 -5.027074813842773438e-01 -4.938321113586425781e-01 -4.854955673217773438e-01 -4.772281646728515625e-01 -4.687252044677734375e-01 -4.602198600769042969e-01 -4.516611099243164062e-01 -4.430427551269531250e-01 -4.345650672912597656e-01 -4.264307022094726562e-01 -4.187431335449218750e-01 -4.114928245544433594e-01 -4.046196937561035156e-01 -3.980574607849121094e-01 -3.917465209960937500e-01 -3.856439590454101562e-01 -3.797230720520019531e-01 -3.739714622497558594e-01 -3.683912754058837891e-01 -3.629930019378662109e-01 -3.577921390533447266e-01 -3.528034687042236328e-01 -3.480384349822998047e-01 -3.435037136077880859e-01 -3.392026424407958984e-01 -3.351378440856933594e-01 -3.313119411468505859e-01 -3.277292251586914062e-01 -3.243970870971679688e-01 -3.213249444961547852e-01 -3.185242414474487305e-01 -3.160086870193481445e-01 -3.137918710708618164e-01 -3.118878602981567383e-01 -3.103099465370178223e-01 -3.090696334838867188e-01 -3.081764578819274902e-01 -3.076375722885131836e-01 -1.537287235260009766e-01
nan nan nan nan nan nan nan -2.115688323974609375e-01 -5.228071212768554688e-01 -7.001171112060546875e-01 -6.957664489746093750e-01 -6.178007125854492188e-01 -6.351556777954101562e-01 -6.287202835083007812e-01 -6.025600433349609375e-01 -5.937232971191406250e-01 -5.814619064331054688e-01 -5.627422332763671875e-01 -5.457811355590820312e-01 -5.313796997070312500e-01 -5.198402404785156250e-01 -5.096764564514160156e-01 -4.999957084655761719e-01 -4.907636642456054688e-01 -4.817757606506347656e-01 -4.728784561157226562e-01 -4.640774726867675781e-01 -4.553623199462890625e-01 -4.467544555664062500e-01 -4.383440017700195312e-01 -4.302320480346679688e-01 -4.224805831909179688e-01 -4.150991439819335938e-01 -4.080619812011718750e-01 -4.013309478759765625e-01 -3.948674201965332031e-01 -3.886399269104003906e-01 -3.826270103454589844e-01 -3.768155574798583984e-01 -3.712034225463867188e-01 -3.657951354980468750e-01 -3.605983257293701172e-01 -3.556218147277832031e-01 -3.508732318878173828e-01 -3.463587760925292969e-01 -3.420825004577636719e-01 -3.380479812622070312e-01 -3.342592716217041016e-01 -3.307213783264160156e-01 -3.274405002593994141e-01 -3.244251012802124023e-01 -3.216850757598876953e-01 -3.192313909530639648e-01 -3.170751333236694336e-01 -3.152276277542114258e-01 -3.136996626853942871e-01 -3.125005364418029785e-01 -3.116382360458374023e-01 -3.111184239387512207e-01 -1.554723381996154785e-01
