nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.209762930870056152e+00 1.118997216224670410e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.785627365112304688e+00 1.668048858642578125e+00 1.500598311424255371e+00 1.300528645515441895e+00 1.147228598594665527e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.460305929183959961e+00 2.330297231674194336e+00 2.139566898345947266e+00 1.903205990791320801e+00 1.717920780181884766e+00 1.533217310905456543e+00 1.344524860382080078e+00 1.169388532638549805e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.989348649978637695e+00 2.830904483795166016e+00 2.590314626693725586e+00 2.391018867492675781e+00 2.185197353363037109e+00 1.969708919525146484e+00 1.767211079597473145e+00 1.569825172424316406e+00 1.374965071678161621e+00 1.185800790786743164e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.845648050308227539e+00 3.683898448944091797e+00 3.446294307708740234e+00 3.147792816162109375e+00 2.913049936294555664e+00 2.679029464721679688e+00 2.458266258239746094e+00 2.240494489669799805e+00 2.023221254348754883e+00 1.811389446258544922e+00 1.603907346725463867e+00 1.399709582328796387e+00 1.198849439620971680e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.737644672393798828e+00 4.568526268005371094e+00 4.319744110107421875e+00 4.007397651672363281e+00 3.759752988815307617e+00 3.507191896438598633e+00 3.242478609085083008e+00 2.994472980499267578e+00 2.754487037658691406e+00 2.522522211074829102e+00 2.295293092727661133e+00 2.071292638778686523e+00 1.851217865943908691e+00 1.634705305099487305e+00 1.421116232872009277e+00 1.209887504577636719e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.659846305847167969e+00 5.487689018249511719e+00 5.231323719024658203e+00 4.906762599945068359e+00 4.648190975189208984e+00 4.383308410644531250e+00 4.104444980621337891e+00 3.840524435043334961e+00 3.580241203308105469e+00 3.320456504821777344e+00 3.067876100540161133e+00 2.821923971176147461e+00 2.582041978836059570e+00 2.346863031387329102e+00 2.115438222885131836e+00 1.887484073638916016e+00 1.662579655647277832e+00 1.440162539482116699e+00 1.219584465026855469e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.346434593200683594e+00 6.143466949462890625e+00 5.832003593444824219e+00 5.571897983551025391e+00 5.299518585205078125e+00 5.009891510009765625e+00 4.734165668487548828e+00 4.460853576660156250e+00 4.186549186706542969e+00 3.917658805847167969e+00 3.652792215347290039e+00 3.391230106353759766e+00 3.134650468826293945e+00 2.883291006088256836e+00 2.636858940124511719e+00 2.394678831100463867e+00 2.156113147735595703e+00 1.920700430870056152e+00 1.687966823577880859e+00 1.457369685173034668e+00 1.228288054466247559e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.423465251922607422e+00 7.222468376159667969e+00 6.925496578216552734e+00 6.549402236938476562e+00 6.251963138580322266e+00 5.952803134918212891e+00 5.668379783630371094e+00 5.384962081909179688e+00 5.099118709564208984e+00 4.817727565765380859e+00 4.539390563964843750e+00 4.263239383697509766e+00 3.990769624710083008e+00 3.722038745880126953e+00 3.457021474838256836e+00 3.196204900741577148e+00 2.939730882644653320e+00 2.687423706054687500e+00 2.438880205154418945e+00 2.193635225296020508e+00 1.951237559318542480e+00 1.711217761039733887e+00 1.473061203956604004e+00 1.236197829246520996e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.520834922790527344e+00 8.314145088195800781e+00 8.009124755859375000e+00 7.624462604522705078e+00 7.318442821502685547e+00 7.004619598388671875e+00 6.673714160919189453e+00 6.362179756164550781e+00 6.058866500854492188e+00 5.763854980468750000e+00 5.472832202911376953e+00 5.183892726898193359e+00 4.898235797882080078e+00 4.615742683410644531e+00 4.336247444152832031e+00 4.060141563415527344e+00 3.787571191787719727e+00 3.518612623214721680e+00 3.253416299819946289e+00 2.992003917694091797e+00 2.734224319458007812e+00 2.479783535003662109e+00 2.228309869766235352e+00 1.979396700859069824e+00 1.732605576515197754e+00 1.487459659576416016e+00 1.243442177772521973e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.641963005065917969e+00 9.433374404907226562e+00 9.122276306152343750e+00 8.727524757385253906e+00 8.412475585937500000e+00 8.088767051696777344e+00 7.746816635131835938e+00 7.422220706939697266e+00 7.100824832916259766e+00 6.778655052185058594e+00 6.464175701141357422e+00 6.156627655029296875e+00 5.855341911315917969e+00 5.558618068695068359e+00 5.265385150909423828e+00 4.975579261779785156e+00 4.689096450805664062e+00 4.405866622924804688e+00 4.125977516174316406e+00 3.849492073059082031e+00 3.576441287994384766e+00 3.306843757629394531e+00 3.040644407272338867e+00 2.777686595916748047e+00 2.517719507217407227e+00 2.260423660278320312e+00 2.005434036254882812e+00 1.752348065376281738e+00 1.500729680061340332e+00 1.250111222267150879e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.047228908538818359e+01 1.022710418701171875e+01 9.850550651550292969e+00 9.535883903503417969e+00 9.205930709838867188e+00 8.854512214660644531e+00 8.519466400146484375e+00 8.186651229858398438e+00 7.851815700531005859e+00 7.522799968719482422e+00 7.197802543640136719e+00 6.875906467437744141e+00 6.559239387512207031e+00 6.248127460479736328e+00 5.942267417907714844e+00 5.640913486480712891e+00 5.343450069427490234e+00 5.049600124359130859e+00 4.759197711944580078e+00 4.472144603729248047e+00 4.188410758972167969e+00 3.907978296279907227e+00 3.630816936492919922e+00 3.356873035430908203e+00 3.086042881011962891e+00 2.818158149719238281e+00 2.552984237670898438e+00 2.290231466293334961e+00 2.029567480087280273e+00 1.770622968673706055e+00 1.512999653816223145e+00 1.256273031234741211e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.177235984802246094e+01 1.152975940704345703e+01 1.117137527465820312e+01 1.071747303009033203e+01 1.035847377777099609e+01 9.997252464294433594e+00 9.653678894042968750e+00 9.311048507690429688e+00 8.965128898620605469e+00 8.624225616455078125e+00 8.286553382873535156e+00 7.950996398925781250e+00 7.619359493255615234e+00 7.291680335998535156e+00 6.967928409576416016e+00 6.648747920989990234e+00 6.334375381469726562e+00 6.024685859680175781e+00 5.719318389892578125e+00 5.417901515960693359e+00 5.120173454284667969e+00 4.825950145721435547e+00 4.535102844238281250e+00 4.247541904449462891e+00 3.963193178176879883e+00 3.681975364685058594e+00 3.403788328170776367e+00 3.128496408462524414e+00 2.855918645858764648e+00 2.585827350616455078e+00 2.317951202392578125e+00 2.051980972290039062e+00 1.787577033042907715e+00 1.524372816085815430e+00 1.261981248855590820e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.309840393066406250e+01 1.284832096099853516e+01 1.247958564758300781e+01 1.201496124267578125e+01 1.164554119110107422e+01 1.126689529418945312e+01 1.086775398254394531e+01 1.049206542968750000e+01 1.012630653381347656e+01 9.770530700683593750e+00 9.419457435607910156e+00 9.070728302001953125e+00 8.725753784179687500e+00 8.384342193603515625e+00 8.046257019042968750e+00 7.711960792541503906e+00 7.381630420684814453e+00 7.055379867553710938e+00 6.733447551727294922e+00 6.415939807891845703e+00 6.102783203125000000e+00 5.793772220611572266e+00 5.488663673400878906e+00 5.187241554260253906e+00 4.889327049255371094e+00 4.594774246215820312e+00 4.303462028503417969e+00 4.015276908874511719e+00 3.730103254318237305e+00 3.447808742523193359e+00 3.168235301971435547e+00 2.891192913055419922e+00 2.616455793380737305e+00 2.343764543533325195e+00 2.072828531265258789e+00 1.803331136703491211e+00 1.534933447837829590e+00 1.267279267311096191e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.445837593078613281e+01 1.420476341247558594e+01 1.382704353332519531e+01 1.334848690032958984e+01 1.296697425842285156e+01 1.257547473907470703e+01 1.216235637664794922e+01 1.177054977416992188e+01 1.138290977478027344e+01 1.099458217620849609e+01 1.061572742462158203e+01 1.024537944793701172e+01 9.882678031921386719e+00 9.525522232055664062e+00 9.172572135925292969e+00 8.823718070983886719e+00 8.478804588317871094e+00 8.137728691101074219e+00 7.800596714019775391e+00 7.467500209808349609e+00 7.138513565063476562e+00 6.813723564147949219e+00 6.493153095245361328e+00 6.176734447479248047e+00 5.864323616027832031e+00 5.555740356445312500e+00 5.250802040100097656e+00 4.949341773986816406e+00 4.651205539703369141e+00 4.356253623962402344e+00 4.064349651336669922e+00 3.775352001190185547e+00 3.489107608795166016e+00 3.205443382263183594e+00 2.924161911010742188e+00 2.645038604736328125e+00 2.367822408676147461e+00 2.092237234115600586e+00 1.817985415458679199e+00 1.544750690460205078e+00 1.272202491760253906e+00 1.000000000000000000e+00
