nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.538285732269287109e-02 1.411569118499755859e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.878931283950805664e-02 2.493596076965332031e-02 1.630949974060058594e-02 6.738096475601196289e-02 2.519565820693969727e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.500434875488281250e-02 3.036081790924072266e-02 2.281522750854492188e-02 9.204077720642089844e-02 4.958111047744750977e-02 3.461343050003051758e-02 3.721821308135986328e-02 1.928609609603881836e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.922208309173583984e-02 4.107272624969482422e-02 1.093617677688598633e-01 6.398451328277587891e-02 5.046379566192626953e-02 6.000763177871704102e-02 4.673433303833007812e-02 3.534501791000366211e-02 2.759236097335815430e-02 1.473045349121093750e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.087480068206787109e-02 3.792726993560791016e-02 3.044879436492919922e-02 1.265649795532226562e-01 8.178424835205078125e-02 8.208620548248291016e-02 6.575167179107666016e-02 5.504786968231201172e-02 5.079185962677001953e-02 4.200339317321777344e-02 3.244006633758544922e-02 2.307558059692382812e-02 1.204335689544677734e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.455896377563476562e-02 3.983235359191894531e-02 3.178215026855468750e-02 1.293984651565551758e-01 7.831299304962158203e-02 6.697344779968261719e-02 8.633184432983398438e-02 7.741308212280273438e-02 7.144725322723388672e-02 6.188786029815673828e-02 5.318427085876464844e-02 4.610848426818847656e-02 3.804731369018554688e-02 2.933615446090698242e-02 2.022647857666015625e-02 1.036751270294189453e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.607864379882812500e-02 4.210448265075683594e-02 3.409743309020996094e-02 1.361234188079833984e-01 8.281970024108886719e-02 7.055473327636718750e-02 8.957576751708984375e-02 7.895290851593017578e-02 7.280015945434570312e-02 7.437574863433837891e-02 7.008874416351318359e-02 6.440198421478271484e-02 5.716836452484130859e-02 4.969286918640136719e-02 4.241025447845458984e-02 3.474128246307373047e-02 2.663075923919677734e-02 1.812672615051269531e-02 9.200274944305419922e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.014838218688964844e-01 5.424809455871582031e-02 1.464784145355224609e-01 9.034538269042968750e-02 7.681918144226074219e-02 9.617805480957031250e-02 8.476829528808593750e-02 7.804107666015625000e-02 7.939720153808593750e-02 7.512259483337402344e-02 7.089877128601074219e-02 6.828248500823974609e-02 6.416440010070800781e-02 5.890345573425292969e-02 5.269086360931396484e-02 4.600858688354492188e-02 3.909850120544433594e-02 3.187674283981323242e-02 2.431905269622802734e-02 1.644933223724365234e-02 8.306682109832763672e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.004986763000488281e-01 4.798722267150878906e-02 3.956151008605957031e-02 1.636397838592529297e-01 1.093564033508300781e-01 1.134314537048339844e-01 9.597849845886230469e-02 8.665680885314941406e-02 8.700060844421386719e-02 8.203506469726562500e-02 7.744455337524414062e-02 7.484912872314453125e-02 7.124137878417968750e-02 6.738948822021484375e-02 6.369125843048095703e-02 5.938291549682617188e-02 5.435645580291748047e-02 4.868268966674804688e-02 4.255235195159912109e-02 3.609836101531982422e-02 2.934813499450683594e-02 2.231937646865844727e-02 1.504498720169067383e-02 7.577061653137207031e-03 0.000000000000000000e+00
