nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.653429985046386719e-02 -1.075431108474731445e-01 -6.100881099700927734e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.026923656463623047e-02 -1.461088061332702637e-01 -1.884072422981262207e-01 -1.811617016792297363e-01 -1.540773510932922363e-01 -7.548332214355468750e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.660580635070800781e-02 -1.643366813659667969e-01 -2.188635468482971191e-01 -2.161009311676025391e-01 -1.896499395370483398e-01 -1.914168596267700195e-01 -1.865261197090148926e-01 -1.766380071640014648e-01 -8.684706687927246094e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.112239837646484375e-02 -2.043361663818359375e-01 -2.253000736236572266e-01 -2.075406312942504883e-01 -2.158839106559753418e-01 -2.142189145088195801e-01 -2.049732208251953125e-01 -2.010840773582458496e-01 -1.968877911567687988e-01 -1.922545433044433594e-01 -9.526693820953369141e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.269572257995605469e-02 -2.042225599288940430e-01 -2.742685079574584961e-01 -2.728953361511230469e-01 -2.399803400039672852e-01 -2.328981161117553711e-01 -2.246419191360473633e-01 -2.229125499725341797e-01 -2.199177145957946777e-01 -2.149398326873779297e-01 -2.110584974288940430e-01 -2.076866030693054199e-01 -2.049583792686462402e-01 -1.019660830497741699e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.628726005554199219e-02 -2.132923603057861328e-01 -2.865598201751708984e-01 -2.861148118972778320e-01 -2.557033300399780273e-01 -2.645652294158935547e-01 -2.623461484909057617e-01 -2.497915029525756836e-01 -2.416698932647705078e-01 -2.352168560028076172e-01 -2.312065362930297852e-01 -2.275993824005126953e-01 -2.238100171089172363e-01 -2.205232977867126465e-01 -2.178416848182678223e-01 -2.159603238105773926e-01 -1.076390743255615234e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.760452270507812500e-02 -2.181532382965087891e-01 -2.959582805633544922e-01 -2.972660064697265625e-01 -2.670302391052246094e-01 -2.775766849517822266e-01 -2.772498130798339844e-01 -2.679111957550048828e-01 -2.659429311752319336e-01 -2.621322870254516602e-01 -2.551696300506591797e-01 -2.487732172012329102e-01 -2.433489561080932617e-01 -2.390972375869750977e-01 -2.354634404182434082e-01 -2.321776151657104492e-01 -2.293830513954162598e-01 -2.271963953971862793e-01 -2.257629632949829102e-01 -1.126299500465393066e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.030442714691162109e-01 -2.613158226013183594e-01 -2.905364036560058594e-01 -2.708969116210937500e-01 -2.861680984497070312e-01 -2.880914211273193359e-01 -2.799861431121826172e-01 -2.794668674468994141e-01 -2.773965597152709961e-01 -2.727484703063964844e-01 -2.691631317138671875e-01 -2.650704383850097656e-01 -2.599812746047973633e-01 -2.549047470092773438e-01 -2.503086328506469727e-01 -2.463698387145996094e-01 -2.429795265197753906e-01 -2.400538921356201172e-01 -2.376347780227661133e-01 -2.357980012893676758e-01 -2.346353530883789062e-01 -1.171177625656127930e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.016163825988769531e-01 -2.519202232360839844e-01 -3.408932685852050781e-01 -3.414514064788818359e-01 -3.027622699737548828e-01 -2.964515686035156250e-01 -2.887306213378906250e-01 -2.897260189056396484e-01 -2.889454364776611328e-01 -2.853560447692871094e-01 -2.829079627990722656e-01 -2.801208496093750000e-01 -2.765227556228637695e-01 -2.728909254074096680e-01 -2.690050601959228516e-01 -2.647802829742431641e-01 -2.605556249618530273e-01 -2.566107511520385742e-01 -2.530943155288696289e-01 -2.500311136245727539e-01 -2.474234700202941895e-01 -2.453043460845947266e-01 -2.437254190444946289e-01 -2.427448034286499023e-01 -1.212057471275329590e-01
