nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.653424024581909180e-02 1.447451114654541016e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.026929616928100586e-02 2.557027339935302734e-02 1.672816276550292969e-02 6.909489631652832031e-02 2.583825588226318359e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.660568714141845703e-02 3.112518787384033203e-02 2.340173721313476562e-02 9.437412023544311523e-02 5.085402727127075195e-02 3.550970554351806641e-02 3.817719221115112305e-02 1.978361606597900391e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.112251758575439453e-02 4.209125041961669922e-02 1.120840311050415039e-01 6.561839580535888672e-02 5.177879333496093750e-02 6.156939268112182617e-02 4.796200990676879883e-02 3.627949953079223633e-02 2.832037210464477539e-02 1.511901617050170898e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.269560337066650391e-02 3.883123397827148438e-02 3.121483325958251953e-02 1.296570301055908203e-01 8.385527133941650391e-02 8.420169353485107422e-02 6.748545169830322266e-02 5.652546882629394531e-02 5.216282606124877930e-02 4.314500093460083008e-02 3.332602977752685547e-02 2.370578050613403320e-02 1.237213611602783203e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.628726005554199219e-02 4.071807861328125000e-02 3.254938125610351562e-02 1.323968172073364258e-01 8.024561405181884766e-02 6.870818138122558594e-02 8.857119083404541016e-02 7.947123050689697266e-02 7.338190078735351562e-02 6.359612941741943359e-02 5.467486381530761719e-02 4.741144180297851562e-02 3.912913799285888672e-02 3.017365932464599609e-02 2.080458402633666992e-02 1.066386699676513672e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.760452270507812500e-02 4.294419288635253906e-02 3.486084938049316406e-02 1.390216350555419922e-01 8.475351333618164062e-02 7.232785224914550781e-02 9.184646606445312500e-02 8.104610443115234375e-02 7.480132579803466797e-02 7.644820213317871094e-02 7.207703590393066406e-02 6.625843048095703125e-02 5.884218215942382812e-02 5.116665363311767578e-02 4.367887973785400391e-02 3.578650951385498047e-02 2.743500471115112305e-02 1.867502927780151367e-02 9.478688240051269531e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.030445098876953125e-01 5.522680282592773438e-02 1.492025852203369141e-01 9.225583076477050781e-02 7.862520217895507812e-02 9.848809242248535156e-02 8.694577217102050781e-02 8.016228675842285156e-02 8.161449432373046875e-02 7.729125022888183594e-02 7.300293445587158203e-02 7.034325599670410156e-02 6.613016128540039062e-02 6.073260307312011719e-02 5.434775352478027344e-02 4.747080802917480469e-02 4.035067558288574219e-02 3.290313482284545898e-02 2.510482072830200195e-02 1.698184013366699219e-02 8.575797080993652344e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.016163825988769531e-01 4.868745803833007812e-02 4.028534889221191406e-02 1.663618087768554688e-01 1.114919185638427734e-01 1.158471107482910156e-01 9.825134277343750000e-02 8.889603614807128906e-02 8.935976028442382812e-02 8.437967300415039062e-02 7.976078987121582031e-02 7.715845108032226562e-02 7.350099086761474609e-02 6.957602500915527344e-02 6.579160690307617188e-02 6.136739253997802734e-02 5.619394779205322266e-02 5.034542083740234375e-02 4.401803016662597656e-02 3.734982013702392578e-02 3.037047386169433594e-02 2.309924364089965820e-02 1.557165384292602539e-02 7.842540740966796875e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.039772033691406250e-01 4.966640472412109375e-02 4.040622711181640625e-02 1.637277603149414062e-01 1.015357971191406250e-01 8.942246437072753906e-02 1.169905662536621094e-01 1.085329055786132812e-01 1.044425964355468750e-01 9.600591659545898438e-02 8.934807777404785156e-02 8.567547798156738281e-02 8.145236968994140625e-02 7.734322547912597656e-02 7.375764846801757812e-02 6.997776031494140625e-02 6.600868701934814453e-02 6.187999248504638672e-02 5.735385417938232422e-02 5.233061313629150391e-02 4.682159423828125000e-02 4.090607166290283203e-02 3.466033935546875000e-02 2.812969684600830078e-02 2.135002613067626953e-02 1.436311006546020508e-02 7.222831249237060547e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.043319702148437500e-01 5.150461196899414062e-02 4.224443435668945312e-02 1.681604385375976562e-01 1.039490699768066406e-01 9.025382995605468750e-02 1.156864166259765625e-01 1.043055057525634766e-01 9.887838363647460938e-02 1.036453247070312500e-01 1.012060642242431641e-01 9.738421440124511719e-02 9.198164939880371094e-02 8.681488037109375000e-02 8.254146575927734375e-02 7.841086387634277344e-02 7.440209388732910156e-02 7.055091857910156250e-02 6.664443016052246094e-02 6.260049343109130859e-02 5.836606025695800781e-02 5.383765697479248047e-02 4.895305633544921875e-02 4.370450973510742188e-02 3.812444210052490234e-02 3.225576877593994141e-02 2.613782882690429688e-02 1.980805397033691406e-02 1.330775022506713867e-02 6.685853004455566406e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.220726966857910156e-01 6.574153900146484375e-02 1.780080795288085938e-01 1.109466552734375000e-01 9.553623199462890625e-02 1.204113960266113281e-01 1.077165603637695312e-01 1.009731292724609375e-01 1.044590473175048828e-01 1.011214256286621094e-01 9.813952445983886719e-02 9.750747680664062500e-02 9.526085853576660156e-02 9.190678596496582031e-02 8.772206306457519531e-02 8.338856697082519531e-02 7.926392555236816406e-02 7.524824142456054688e-02 7.130289077758789062e-02 6.739950180053710938e-02 6.344890594482421875e-02 5.938291549682617188e-02 5.514562129974365234e-02 5.067765712738037109e-02 4.593920707702636719e-02 4.091930389404296875e-02 3.563106060028076172e-02 3.010046482086181641e-02 2.435791492462158203e-02 1.843672990798950195e-02 1.237410306930541992e-02 6.212592124938964844e-03 0.000000000000000000e+00
