nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.105299711227416992e-02 -9.487611055374145508e-02 -5.382311344146728516e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.315935611724853516e-02 -1.288785934448242188e-01 -1.662006378173828125e-01 -1.598171591758728027e-01 -1.359290480613708496e-01 -6.659328937530517578e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.871582031250000000e-02 -1.448850631713867188e-01 -1.929907798767089844e-01 -1.905803680419921875e-01 -1.672756671905517578e-01 -1.688531041145324707e-01 -1.645516753196716309e-01 -1.558364033699035645e-01 -7.662099599838256836e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.146525382995605469e-02 -1.800420284271240234e-01 -1.985548734664916992e-01 -1.829483509063720703e-01 -1.903475522994995117e-01 -1.889148354530334473e-01 -1.807907819747924805e-01 -1.773844957351684570e-01 -1.736999750137329102e-01 -1.696229577064514160e-01 -8.405423164367675781e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.274091243743896484e-02 -1.796848773956298828e-01 -2.414197921752929688e-01 -2.402951717376708984e-01 -2.113900184631347656e-01 -2.052208185195922852e-01 -1.980062723159790039e-01 -1.965359449386596680e-01 -1.939407587051391602e-01 -1.895881295204162598e-01 -1.861940622329711914e-01 -1.832408905029296875e-01 -1.808469295501708984e-01 -8.997291326522827148e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.573747634887695312e-02 -1.872811317443847656e-01 -2.517662048339843750e-01 -2.515010833740234375e-01 -2.248936891555786133e-01 -2.328143119812011719e-01 -2.309643030166625977e-01 -2.200021743774414062e-01 -2.129319906234741211e-01 -2.073198556900024414e-01 -2.038496136665344238e-01 -2.007238268852233887e-01 -1.974267959594726562e-01 -1.945628523826599121e-01 -1.922225356101989746e-01 -1.905779838562011719e-01 -9.499061107635498047e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.667803764343261719e-02 -1.910307407379150391e-01 -2.593648433685302734e-01 -2.606809139251708984e-01 -2.343394756317138672e-01 -2.437754869461059570e-01 -2.436406612396240234e-01 -2.355748414993286133e-01 -2.339789867401123047e-01 -2.307453155517578125e-01 -2.247225046157836914e-01 -2.191852331161499023e-01 -2.144914865493774414e-01 -2.108187675476074219e-01 -2.076782584190368652e-01 -2.048323750495910645e-01 -2.024081349372863770e-01 -2.005082964897155762e-01 -1.992611885070800781e-01 -9.941160678863525391e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.997225761413574219e-02 -2.282989025115966797e-01 -2.540082931518554688e-01 -2.370491027832031250e-01 -2.506451606750488281e-01 -2.525324821472167969e-01 -2.456209659576416016e-01 -2.453554868698120117e-01 -2.437103986740112305e-01 -2.397860288619995117e-01 -2.367819547653198242e-01 -2.333154678344726562e-01 -2.289569377899169922e-01 -2.245950698852539062e-01 -2.206424474716186523e-01 -2.172554731369018555e-01 -2.143379449844360352e-01 -2.118165493011474609e-01 -2.097287774085998535e-01 -2.081413269042968750e-01 -2.071353793144226074e-01 -1.033946275711059570e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.833169937133789062e-02 -2.191393375396728516e-01 -2.968962192535400391e-01 -2.976787090301513672e-01 -2.642383575439453125e-01 -2.590022087097167969e-01 -2.525117397308349609e-01 -2.536346912384033203e-01 -2.531833648681640625e-01 -2.502555847167968750e-01 -2.483149766921997070e-01 -2.460602521896362305e-01 -2.430765628814697266e-01 -2.400472164154052734e-01 -2.367781400680541992e-01 -2.331944704055786133e-01 -2.295956611633300781e-01 -2.262278795242309570e-01 -2.232223749160766602e-01 -2.206014990806579590e-01 -2.183672785758972168e-01 -2.165491580963134766e-01 -2.151928544044494629e-01 -2.143496870994567871e-01 -1.070314645767211914e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.991003036499023438e-02 -2.229514122009277344e-01 -3.013365268707275391e-01 -3.024828433990478516e-01 -2.721905708312988281e-01 -2.838985919952392578e-01 -2.835464477539062500e-01 -2.719733715057373047e-01 -2.652509212493896484e-01 -2.603609561920166016e-01 -2.581984996795654297e-01 -2.563102245330810547e-01 -2.539031505584716797e-01 -2.515890598297119141e-01 -2.491390705108642578e-01 -2.464126348495483398e-01 -2.435519695281982422e-01 -2.405554056167602539e-01 -2.374475002288818359e-01 -2.343649864196777344e-01 -2.314509153366088867e-01 -2.288049459457397461e-01 -2.264782786369323730e-01 -2.245019078254699707e-01 -2.229077219963073730e-01 -2.217313647270202637e-01 -2.210075855255126953e-01 -1.103814840316772461e-01
