nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.418105214834213257e-02 1.058271005749702454e-01 5.949860811233520508e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.314060419797897339e-02 1.446796208620071411e-01 1.844824701547622681e-01 1.890971511602401733e-01 1.523620337247848511e-01 7.361429929733276367e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.193003177642822266e-02 1.632181406021118164e-01 2.147609591484069824e-01 2.300388365983963013e-01 1.915233433246612549e-01 1.898794919252395630e-01 1.856826394796371460e-01 1.733386814594268799e-01 8.469426631927490234e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.120369434356689453e-01 2.037007659673690796e-01 2.456315010786056519e-01 2.124241590499877930e-01 2.166151255369186401e-01 2.174374461174011230e-01 2.053310722112655640e-01 1.992824673652648926e-01 1.939845830202102661e-01 1.880603283643722534e-01 9.290039539337158203e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.143742427229881287e-01 2.032469660043716431e-01 2.697766423225402832e-01 2.951374053955078125e-01 2.482406795024871826e-01 2.417544126510620117e-01 2.289137691259384155e-01 2.243798226118087769e-01 2.204826474189758301e-01 2.138231098651885986e-01 2.083805054426193237e-01 2.038392871618270874e-01 2.002173364162445068e-01 9.942471981048583984e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.195845976471900940e-01 2.127130329608917236e-01 2.823587059974670410e-01 3.084501326084136963e-01 2.620770335197448730e-01 2.671678066253662109e-01 2.705057561397552490e-01 2.559818923473358154e-01 2.465544492006301880e-01 2.377916723489761353e-01 2.317986190319061279e-01 2.267745435237884521e-01 2.215845733880996704e-01 2.170425355434417725e-01 2.133697569370269775e-01 2.108132094144821167e-01 1.049437522888183594e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.217335835099220276e-01 2.183590829372406006e-01 2.924576997756958008e-01 3.217771351337432861e-01 2.745180726051330566e-01 2.808788120746612549e-01 2.857926189899444580e-01 2.737352252006530762e-01 2.700324654579162598e-01 2.667606472969055176e-01 2.589326202869415283e-01 2.513091862201690674e-01 2.443132102489471436e-01 2.385354191064834595e-01 2.335720062255859375e-01 2.290789783000946045e-01 2.252406179904937744e-01 2.222380787134170532e-01 2.202734947204589844e-01 1.097922325134277344e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.435198038816452026e-01 2.628738582134246826e-01 3.211365640163421631e-01 2.811536192893981934e-01 2.913142740726470947e-01 2.985903620719909668e-01 2.873087525367736816e-01 2.847127616405487061e-01 2.829647362232208252e-01 2.772499322891235352e-01 2.725957334041595459e-01 2.679183185100555420e-01 2.619496285915374756e-01 2.557708323001861572e-01 2.499235719442367554e-01 2.447364181280136108e-01 2.401927858591079712e-01 2.362337112426757812e-01 2.329383194446563721e-01 2.304272651672363281e-01 2.288356572389602661e-01 1.141440272331237793e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.421264261007308960e-01 2.535665035247802734e-01 3.388504385948181152e-01 3.744192719459533691e-01 3.177128434181213379e-01 3.130640089511871338e-01 2.997044324874877930e-01 2.975297272205352783e-01 2.966611683368682861e-01 2.916395962238311768e-01 2.878575026988983154e-01 2.843389213085174561e-01 2.798211276531219482e-01 2.752510011196136475e-01 2.705214917659759521e-01 2.653746902942657471e-01 2.601330280303955078e-01 2.551134228706359863e-01 2.505343556404113770e-01 2.464790642261505127e-01 2.429875731468200684e-01 2.401276975870132446e-01 2.379859983921051025e-01 2.366519272327423096e-01 1.180989146232604980e-01
