nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.538285732269287109e-02 -1.048814654350280762e-01 -5.949860811233520508e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.878925323486328125e-02 -1.425145268440246582e-01 -1.837601065635681152e-01 -1.766848564147949219e-01 -1.502643227577209473e-01 -7.361429929733276367e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.500434875488281250e-02 -1.603695154190063477e-01 -2.135456204414367676e-01 -2.108230590820312500e-01 -1.849943399429321289e-01 -1.866979598999023438e-01 -1.819143891334533691e-01 -1.722624301910400391e-01 -8.469426631927490234e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.922208309173583984e-02 -1.995170116424560547e-01 -2.199428081512451172e-01 -2.025586366653442383e-01 -2.106549739837646484e-01 -2.089931368827819824e-01 -1.999418735504150391e-01 -1.961230039596557617e-01 -1.920121908187866211e-01 -1.874825358390808105e-01 -9.290039539337158203e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.087480068206787109e-02 -1.996768712997436523e-01 -2.680528163909912109e-01 -2.666221857070922852e-01 -2.343816757202148438e-01 -2.273918390274047852e-01 -2.192674875259399414e-01 -2.175225019454956055e-01 -2.145525217056274414e-01 -2.096569538116455078e-01 -2.058399319648742676e-01 -2.025289535522460938e-01 -1.998547911643981934e-01 -9.942471981048583984e-02
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.455920219421386719e-02 -2.089502811431884766e-01 -2.805643081665039062e-01 -2.799955606460571289e-01 -2.501028776168823242e-01 -2.586371898651123047e-01 -2.563594579696655273e-01 -2.439957857131958008e-01 -2.359753847122192383e-01 -2.295969724655151367e-01 -2.256147861480712891e-01 -2.220376133918762207e-01 -2.182936668395996094e-01 -2.150508165359497070e-01 -2.124089002609252930e-01 -2.105581164360046387e-01 -1.049437522888183594e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.607864379882812500e-02 -2.142612934112548828e-01 -2.904632091522216797e-01 -2.915663719177246094e-01 -2.617270946502685547e-01 -2.718729972839355469e-01 -2.713919878005981445e-01 -2.621018886566162109e-01 -2.600339651107788086e-01 -2.561825513839721680e-01 -2.492662668228149414e-01 -2.429170608520507812e-01 -2.375304698944091797e-01 -2.333018779754638672e-01 -2.296894788742065430e-01 -2.264292836189270020e-01 -2.236607670783996582e-01 -2.214975953102111816e-01 -2.200812697410583496e-01 -1.097922325134277344e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.014838218688964844e-01 -2.572154998779296875e-01 -2.857844829559326172e-01 -2.662425041198730469e-01 -2.810032367706298828e-01 -2.826764583587646484e-01 -2.745189666748046875e-01 -2.738082408905029297e-01 -2.715973854064941406e-01 -2.668784856796264648e-01 -2.632143497467041016e-01 -2.590708732604980469e-01 -2.539695501327514648e-01 -2.488957643508911133e-01 -2.443060874938964844e-01 -2.403728961944580078e-01 -2.369892001152038574e-01 -2.340731620788574219e-01 -2.316653728485107422e-01 -2.298393845558166504e-01 -2.286848425865173340e-01 -1.141440272331237793e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.004984378814697266e-01 -2.489843368530273438e-01 -3.365330696105957031e-01 -3.367667198181152344e-01 -2.982995510101318359e-01 -2.917916774749755859e-01 -2.839205265045166016e-01 -2.846305370330810547e-01 -2.836172580718994141e-01 -2.798640727996826172e-01 -2.772440910339355469e-01 -2.743104696273803711e-01 -2.706003189086914062e-01 -2.668740749359130859e-01 -2.629169225692749023e-01 -2.586452960968017578e-01 -2.543905973434448242e-01 -2.504253387451171875e-01 -2.468942403793334961e-01 -2.438213229179382324e-01 -2.412087321281433105e-01 -2.390881776809692383e-01 -2.375099658966064453e-01 -2.365306019783020020e-01 -1.180989146232604980e-01
