nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.020595788955688477e-01 5.055996775627136230e-01 5.017700195312500000e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.034561753273010254e-01 5.104660987854003906e-01 5.170168876647949219e-01 5.178788900375366211e-01 5.116071105003356934e-01 5.027095079421997070e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.042255520820617676e-01 5.133200883865356445e-01 5.230611562728881836e-01 5.264589190483093262e-01 5.183405876159667969e-01 5.180271267890930176e-01 5.172390341758728027e-01 5.150231719017028809e-01 5.035865306854248047e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.062761306762695312e-01 5.207470059394836426e-01 5.301674008369445801e-01 5.225620269775390625e-01 5.234610438346862793e-01 5.236395001411437988e-01 5.210804343223571777e-01 5.198567509651184082e-01 5.188149809837341309e-01 5.176833271980285645e-01 5.043152570724487305e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.065407156944274902e-01 5.206546783447265625e-01 5.363897085189819336e-01 5.435530543327331543e-01 5.308117270469665527e-01 5.292226076126098633e-01 5.262007713317871094e-01 5.251731276512145996e-01 5.243062973022460938e-01 5.228601694107055664e-01 5.217112302780151367e-01 5.207751989364624023e-01 5.200434923171997070e-01 5.049426555633544922e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.071502327919006348e-01 5.226234197616577148e-01 5.398632287979125977e-01 5.475707650184631348e-01 5.343421697616577148e-01 5.356892943382263184e-01 5.365867018699645996e-01 5.327633619308471680e-01 5.303945541381835938e-01 5.282724499702453613e-01 5.268653035163879395e-01 5.257133245468139648e-01 5.245498418807983398e-01 5.235537290573120117e-01 5.227633118629455566e-01 5.222210884094238281e-01 5.055065751075744629e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.074095129966735840e-01 5.238403677940368652e-01 5.427657365798950195e-01 5.517702698707580566e-01 5.376800894737243652e-01 5.394464731216430664e-01 5.408387184143066406e-01 5.374655127525329590e-01 5.364587903022766113e-01 5.355806350708007812e-01 5.335230231285095215e-01 5.315781831741333008e-01 5.298444628715515137e-01 5.284495949745178223e-01 5.272779464721679688e-01 5.262385606765747070e-01 5.253666639328002930e-01 5.246948599815368652e-01 5.242602229118347168e-01 5.060271620750427246e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.102989673614501953e-01 5.345513224601745605e-01 5.515643358230590820e-01 5.395236611366271973e-01 5.424320101737976074e-01 5.445780754089355469e-01 5.412731766700744629e-01 5.405306816101074219e-01 5.400345325469970703e-01 5.384337902069091797e-01 5.371541976928710938e-01 5.358901023864746094e-01 5.343087911605834961e-01 5.327093601226806641e-01 5.312308669090270996e-01 5.299479365348815918e-01 5.288462638854980469e-01 5.279031991958618164e-01 5.271301269531250000e-01 5.265483856201171875e-01 5.261828899383544922e-01 5.065144300460815430e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.100999474525451660e-01 5.321480035781860352e-01 5.574098229408264160e-01 5.700948834419250488e-01 5.504707098007202148e-01 5.490045547485351562e-01 5.449113845825195312e-01 5.442619919776916504e-01 5.440039038658142090e-01 5.425268411636352539e-01 5.414309501647949219e-01 5.404242873191833496e-01 5.391499400138854980e-01 5.378815531730651855e-01 5.365909337997436523e-01 5.352118611335754395e-01 5.338345766067504883e-01 5.325414538383483887e-01 5.313837528228759766e-01 5.303759574890136719e-01 5.295214653015136719e-01 5.288306474685668945e-01 5.283186435699462891e-01 5.280020833015441895e-01 5.069736838340759277e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.106801986694335938e-01 5.339395403861999512e-01 5.602505803108215332e-01 5.726997256278991699e-01 5.530132651329040527e-01 5.558018684387207031e-01 5.581607222557067871e-01 5.528839826583862305e-01 5.499421358108520508e-01 5.472989082336425781e-01 5.458140969276428223e-01 5.447257161140441895e-01 5.434639453887939453e-01 5.422803163528442383e-01 5.411294102668762207e-01 5.399158596992492676e-01 5.386872291564941406e-01 5.374478101730346680e-01 5.361946821212768555e-01 5.349679589271545410e-01 5.338146090507507324e-01 5.327706336975097656e-01 5.318559408187866211e-01 5.310825109481811523e-01 5.304617285728454590e-01 5.300058126449584961e-01 5.297263264656066895e-01 5.074080228805541992e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.108772516250610352e-01 5.350728034973144531e-01 5.631527304649353027e-01 5.768947005271911621e-01 5.562710165977478027e-01 5.593271851539611816e-01 5.619966983795166016e-01 5.573834180831909180e-01 5.564370751380920410e-01 5.557754635810852051e-01 5.532188415527343750e-01 5.508123040199279785e-01 5.486807823181152344e-01 5.470375418663024902e-01 5.456740856170654297e-01 5.443775057792663574e-01 5.431439876556396484e-01 5.419463515281677246e-01 5.407506823539733887e-01 5.395609736442565918e-01 5.383821129798889160e-01 5.372226834297180176e-01 5.361063480377197266e-01 5.350618958473205566e-01 5.341148972511291504e-01 5.332838296890258789e-01 5.325822234153747559e-01 5.320214629173278809e-01 5.316117405891418457e-01 5.313618779182434082e-01 5.078194737434387207e-01
