nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.215086221694946289e+00 1.122017621994018555e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.805507659912109375e+00 1.684969186782836914e+00 1.513290047645568848e+00 1.308154702186584473e+00 1.150966644287109375e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.496984958648681641e+00 2.363773345947265625e+00 2.168311595916748047e+00 1.926046252250671387e+00 1.736109733581542969e+00 1.546746373176574707e+00 1.353276014328002930e+00 1.173694133758544922e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.038868665695190430e+00 2.876623868942260742e+00 2.630196332931518555e+00 2.426023721694946289e+00 2.215115070343017578e+00 1.994255900382995605e+00 1.786677241325378418e+00 1.584309458732604980e+00 1.384509086608886719e+00 1.190533876419067383e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.915042161941528320e+00 3.749650716781616211e+00 3.506597042083740234e+00 3.201113700866699219e+00 2.960806369781494141e+00 2.721153020858764648e+00 2.495010137557983398e+00 2.271869182586669922e+00 2.049185037612915039e+00 1.832033753395080566e+00 1.619305372238159180e+00 1.409916758537292480e+00 1.203932166099548340e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.826127529144287109e+00 4.653553009033203125e+00 4.399542808532714844e+00 4.080433368682861328e+00 3.827313184738159180e+00 3.569026708602905273e+00 3.298182725906372070e+00 3.044334411621093750e+00 2.798599720001220703e+00 2.560994625091552734e+00 2.328166007995605469e+00 2.098581552505493164e+00 1.872967243194580078e+00 1.650961518287658691e+00 1.431920647621154785e+00 1.215278148651123047e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.765827655792236328e+00 5.590618610382080078e+00 5.329521179199218750e+00 4.998702049255371094e+00 4.734989166259765625e+00 4.464641571044921875e+00 4.179835796356201172e+00 3.910141944885253906e+00 3.644013404846191406e+00 3.378256082534790039e+00 3.119748830795288086e+00 2.867916822433471680e+00 2.622202396392822266e+00 2.381218910217285156e+00 2.144007921218872070e+00 1.910292029380798340e+00 1.679652690887451172e+00 1.451525926589965820e+00 1.225259900093078613e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.463668346405029297e+00 6.257579803466796875e+00 5.941036701202392578e+00 5.676506996154785156e+00 5.399242877960205078e+00 5.104170799255371094e+00 4.823060035705566406e+00 4.544198513031005859e+00 4.264126300811767578e+00 3.989405393600463867e+00 3.718629360198974609e+00 3.451079130172729492e+00 3.188488483428955078e+00 2.931116580963134766e+00 2.678678989410400391e+00 2.430499315261840820e+00 2.185939311981201172e+00 1.944540262222290039e+00 1.705831527709960938e+00 1.469270706176757812e+00 1.234235525131225586e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.554776668548583984e+00 7.351543903350830078e+00 7.050936222076416016e+00 6.669757366180419922e+00 6.368033409118652344e+00 6.064232826232910156e+00 5.775130271911621094e+00 5.486771583557128906e+00 5.195678234100341797e+00 4.908880710601806641e+00 4.624966144561767578e+00 4.343064785003662109e+00 4.064724445343017578e+00 3.790019273757934570e+00 3.518942594528198242e+00 3.252009153366088867e+00 2.989382028579711914e+00 2.730897903442382812e+00 2.476160526275634766e+00 2.224709272384643555e+00 1.976098299026489258e+00 1.729862332344055176e+00 1.485489606857299805e+00 1.242411494255065918e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.661350250244140625e+00 8.453396797180175781e+00 8.146109580993652344e+00 7.758009433746337891e+00 7.448918819427490234e+00 7.131506919860839844e+00 6.796391963958740234e+00 6.480563640594482422e+00 6.172730922698974609e+00 5.873009681701660156e+00 5.577034950256347656e+00 5.282890319824218750e+00 4.991819381713867188e+00 4.703720092773437500e+00 4.418443202972412109e+00 4.136407375335693359e+00 3.857781410217285156e+00 3.582662343978881836e+00 3.311223268508911133e+00 3.043504476547241211e+00 2.779369831085205078e+00 2.518535375595092773e+00 2.260638952255249023e+00 2.005281209945678711e+00 1.752030014991760254e+00 1.500414013862609863e+00 1.249920606613159180e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.785803794860839844e+00 9.577139854431152344e+00 9.265467643737792969e+00 8.869304656982421875e+00 8.552729606628417969e+00 8.226922035217285156e+00 7.882232189178466797e+00 7.554615497589111328e+00 7.229781150817871094e+00 6.903738498687744141e+00 6.585099220275878906e+00 6.273118019104003906e+00 5.967142105102539062e+00 5.665467739105224609e+00 5.367029190063476562e+00 5.071785449981689453e+00 4.779652595520019531e+00 4.490580081939697266e+00 4.204679965972900391e+00 3.922036647796630859e+00 3.642702579498291016e+00 3.366716861724853516e+00 3.094043254852294922e+00 2.824541091918945312e+00 2.557972669601440430e+00 2.294029951095581055e+00 2.032357692718505859e+00 1.772562384605407715e+00 1.514215826988220215e+00 1.256857156753540039e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.061424160003662109e+01 1.037009620666503906e+01 9.994467735290527344e+00 9.680149078369140625e+00 9.349956512451171875e+00 8.997671127319335938e+00 8.661294937133789062e+00 8.326617240905761719e+00 7.989382266998291016e+00 7.657529830932617188e+00 7.329263687133789062e+00 7.003682613372802734e+00 6.682975769042968750e+00 6.367499351501464844e+00 6.056972980499267578e+00 5.750664710998535156e+00 5.447973251342773438e+00 5.148641109466552734e+00 4.852524280548095703e+00 4.559545040130615234e+00 4.269696235656738281e+00 3.982982397079467773e+00 3.699394464492797852e+00 3.418898582458496094e+00 3.141410589218139648e+00 2.866778850555419922e+00 2.594784259796142578e+00 2.325150489807128906e+00 2.057556867599487305e+00 1.791646122932434082e+00 1.527029514312744141e+00 1.263292312622070312e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.190326023101806641e+01 1.166357612609863281e+01 1.130878639221191406e+01 1.085838699340820312e+01 1.050157928466796875e+01 1.014181995391845703e+01 9.799033164978027344e+00 9.456540107727050781e+00 9.110127449035644531e+00 8.768162727355957031e+00 8.428868293762207031e+00 8.091150283813476562e+00 7.756858348846435547e+00 7.426060199737548828e+00 7.098753452301025391e+00 6.775620937347412109e+00 6.456931591033935547e+00 6.142586231231689453e+00 5.832244873046875000e+00 5.525557041168212891e+00 5.222281932830810547e+00 4.922258377075195312e+00 4.625379085540771484e+00 4.331577777862548828e+00 4.040802478790283203e+00 3.752993822097778320e+00 3.468072175979614258e+00 3.185921669006347656e+00 2.906379699707031250e+00 2.629234790802001953e+00 2.354230880737304688e+00 2.081073522567749023e+00 1.809435844421386719e+00 1.538964033126831055e+00 1.269282341003417969e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.320706939697265625e+01 1.296214866638183594e+01 1.260020446777343750e+01 1.214294338226318359e+01 1.177868175506591797e+01 1.140439605712890625e+01 1.100894069671630859e+01 1.063601303100585938e+01 1.027220153808593750e+01 9.917623519897460938e+00 9.567042350769042969e+00 9.218136787414550781e+00 8.872358322143554688e+00 8.529545783996582031e+00 8.189490318298339844e+00 7.852694034576416016e+00 7.519364833831787109e+00 7.189650535583496094e+00 6.863822460174560547e+00 6.542019367218017578e+00 6.224195957183837891e+00 5.910171985626220703e+00 5.599728107452392578e+00 5.292671680450439453e+00 4.988847732543945312e+00 4.688134670257568359e+00 4.390433788299560547e+00 4.095655918121337891e+00 3.803706407546997070e+00 3.514474868774414062e+00 3.227824211120605469e+00 2.943583250045776367e+00 2.661544084548950195e+00 2.381464719772338867e+00 2.103070259094238281e+00 1.826059699058532715e+00 1.550108194351196289e+00 1.274873256683349609e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.453188800811767578e+01 1.428590869903564453e+01 1.391864776611328125e+01 1.345199108123779297e+01 1.307917022705078125e+01 1.269552230834960938e+01 1.228962802886962891e+01 1.190381240844726562e+01 1.152117538452148438e+01 1.113696670532226562e+01 1.076133155822753906e+01 1.039334964752197266e+01 1.003221511840820312e+01 9.675869941711425781e+00 9.323018074035644531e+00 8.973588943481445312e+00 8.627463340759277344e+00 8.284573554992675781e+00 7.945062160491943359e+00 7.609054565429687500e+00 7.276660442352294922e+00 6.947999477386474609e+00 6.623127460479736328e+00 6.302006244659423828e+00 5.984518527984619141e+00 5.670511245727539062e+00 5.359828472137451172e+00 5.052326679229736328e+00 4.747878074645996094e+00 4.446367263793945312e+00 4.147680759429931641e+00 3.851700782775878906e+00 3.558296918869018555e+00 3.267317295074462891e+00 2.978584527969360352e+00 2.691894054412841797e+00 2.407013177871704102e+00 2.123683691024780273e+00 1.841624379158020020e+00 1.560535669326782227e+00 1.280102610588073730e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.550940132141113281e+01 1.522109794616699219e+01 1.477786731719970703e+01 1.440718936920166016e+01 1.401804447174072266e+01 1.360307788848876953e+01 1.320701885223388672e+01 1.281308746337890625e+01 1.241623210906982422e+01 1.202576446533203125e+01 1.163952636718750000e+01 1.125641918182373047e+01 1.087899684906005859e+01 1.050765037536621094e+01 1.014201831817626953e+01 9.781205177307128906e+00 9.424476623535156250e+00 9.071516990661621094e+00 8.722146034240722656e+00 8.376277923583984375e+00 8.033926010131835938e+00 7.695130348205566406e+00 7.359938144683837891e+00 7.028388023376464844e+00 6.700485229492187500e+00 6.376182079315185547e+00 6.055385112762451172e+00 5.737970352172851562e+00 5.423804283142089844e+00 5.112751960754394531e+00 4.804684638977050781e+00 4.499475955963134766e+00 4.196998119354248047e+00 3.897119522094726562e+00 3.599694728851318359e+00 3.304563045501708984e+00 3.011543989181518555e+00 2.720434427261352539e+00 2.431010484695434570e+00 2.143026351928710938e+00 1.856218576431274414e+00 1.570307612419128418e+00 1.285001516342163086e+00 1.000000000000000000e+00
