nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.507 0.518 0.506
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.512 0.535 0.557 0.559 0.538 0.509
nan nan nan nan nan nan nan nan nan nan nan 0.516 0.549 0.582 0.592 0.562 0.560 0.557 0.549 0.512
nan nan nan nan nan nan nan nan nan 0.527 0.585 0.617 0.584 0.584 0.582 0.571 0.566 0.561 0.557 0.514
nan nan nan nan nan nan 0.537 0.609 0.678 0.695 0.630 0.615 0.598 0.590 0.584 0.576 0.571 0.567 0.564 0.516
nan nan nan 0.561 0.677 0.776 0.789 0.689 0.679 0.667 0.639 0.620 0.606 0.595 0.587 0.581 0.575 0.571 0.569 0.517
1.000 1.023 1.069 1.008 0.812 0.781 0.753 0.708 0.684 0.663 0.642 0.624 0.610 0.599 0.591 0.584 0.579 0.575 0.573 0.518
1.000 0.996 0.983 0.923 0.838 0.789 0.750 0.714 0.686 0.664 0.643 0.627 0.613 0.602 0.593 0.587 0.581 0.578 0.576 0.519
1.000 0.982 0.954 0.902 0.841 0.791 0.750 0.716 0.688 0.664 0.644 0.628 0.614 0.603 0.595 0.588 0.583 0.579 0.577 0.519
1.000 0.982 0.954 0.902 0.841 0.791 0.750 0.716 0.688 0.664 0.644 0.628 0.614 0.603 0.595 0.588 0.583 0.579 0.577 0.519
1.000 0.996 0.983 0.923 0.838 0.789 0.750 0.714 0.686 0.664 0.643 0.627 0.613 0.602 0.593 0.587 0.581 0.578 0.576 0.519
1.000 1.023 1.069 1.008 0.812 0.781 0.753 0.708 0.684 0.663 0.642 0.624 0.610 0.599 0.591 0.584 0.579 0.575 0.573 0.518
nan nan nan 0.561 0.677 0.776 0.789 0.689 0.679 0.667 0.639 0.620 0.606 0.595 0.587 0.581 0.575 0.571 0.569 0.517
nan nan nan nan nan nan 0.537 0.609 0.678 0.695 0.630 0.615 0.598 0.590 0.584 0.576 0.571 0.567 0.564 0.516
nan nan nan nan nan nan nan nan nan 0.527 0.585 0.617 0.584 0.584 0.582 0.571 0.566 0.561 0.557 0.514
nan nan nan nan nan nan nan nan nan nan nan 0.516 0.549 0.582 0.592 0.562 0.560 0.557 0.549 0.512
nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.512 0.535 0.557 0.559 0.538 0.509
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.507 0.518 0.506
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
