nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.271521598100662231e-01 2.270850688219070435e-01 3.033917546272277832e-01 3.343923091888427734e-01 2.862991690635681152e-01 2.945395112037658691e-01 3.015731573104858398e-01 2.882520854473114014e-01 2.807797789573669434e-01 2.738328874111175537e-01 2.700465023517608643e-01 2.673346400260925293e-01 2.640070915222167969e-01 2.608205080032348633e-01 2.576447725296020508e-01 2.541769444942474365e-01 2.505608201026916504e-01 2.468070536851882935e-01 2.429012358188629150e-01 2.389758378267288208e-01 2.351973950862884521e-01 2.317041903734207153e-01 2.285855561494827271e-01 2.259046733379364014e-01 2.237228006124496460e-01 2.221026271581649780e-01 2.211018502712249756e-01 1.103814840316772461e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.268134564161300659e-01 2.281953841447830200e-01 3.071705698966979980e-01 3.402777314186096191e-01 2.919840812683105469e-01 3.007799386978149414e-01 3.085313141345977783e-01 2.976785004138946533e-01 2.960533201694488525e-01 2.951483726501464844e-01 2.890430092811584473e-01 2.831177413463592529e-01 2.777439653873443604e-01 2.735982835292816162e-01 2.701456546783447266e-01 2.667829096317291260e-01 2.635087668895721436e-01 2.602470815181732178e-01 2.568945288658142090e-01 2.534636557102203369e-01 2.499697059392929077e-01 2.464416176080703735e-01 2.429603338241577148e-01 2.396306395530700684e-01 2.365515530109405518e-01 2.338017225265502930e-01 2.314448654651641846e-01 2.295373231172561646e-01 2.281298041343688965e-01 2.272655069828033447e-01 1.134869456291198730e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.476555913686752319e-01 2.713032364845275879e-01 3.331505954265594482e-01 2.930009365081787109e-01 3.052157759666442871e-01 3.148294389247894287e-01 3.046619594097137451e-01 3.038086593151092529e-01 3.040485084056854248e-01 2.999497354030609131e-01 2.970409393310546875e-01 2.941647469997406006e-01 2.897824645042419434e-01 2.850601375102996826e-01 2.805380821228027344e-01 2.765340805053710938e-01 2.729395925998687744e-01 2.695396542549133301e-01 2.662509381771087646e-01 2.630102634429931641e-01 2.597666680812835693e-01 2.565120458602905273e-01 2.532591223716735840e-01 2.500387132167816162e-01 2.469076216220855713e-01 2.439377456903457642e-01 2.412016689777374268e-01 2.387643456459045410e-01 2.366817295551300049e-01 2.350025624036788940e-01 2.337688207626342773e-01 2.330139726400375366e-01 1.163799166679382324e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.437595337629318237e-01 2.571837306022644043e-01 3.451485633850097656e-01 3.835249245166778564e-01 3.269286155700683594e-01 3.239004909992218018e-01 3.115741610527038574e-01 3.109195530414581299e-01 3.117682933807373047e-01 3.081890344619750977e-01 3.059559166431427002e-01 3.040614426136016846e-01 3.010714948177337646e-01 2.980125248432159424e-01 2.947543561458587646e-01 2.909475266933441162e-01 2.868985831737518311e-01 2.829014062881469727e-01 2.791357040405273438e-01 2.756094932556152344e-01 2.722534537315368652e-01 2.690129876136779785e-01 2.658458650112152100e-01 2.627230584621429443e-01 2.596381306648254395e-01 2.566015124320983887e-01 2.536396980285644531e-01 2.507949471473693848e-01 2.481194585561752319e-01 2.456680536270141602e-01 2.434926033020019531e-01 2.416400313377380371e-01 2.401514649391174316e-01 2.390612065792083740e-01 2.383956611156463623e-01 1.190859079360961914e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.455536335706710815e-01 2.601411938667297363e-01 3.479847609996795654e-01 3.842239677906036377e-01 3.294834196567535400e-01 3.396261930465698242e-01 3.485878109931945801e-01 3.339401185512542725e-01 3.261281251907348633e-01 3.189106285572052002e-01 3.154234290122985840e-01 3.132652938365936279e-01 3.104180991649627686e-01 3.077824711799621582e-01 3.052057027816772461e-01 3.022985756397247314e-01 2.992151081562042236e-01 2.959425151348114014e-01 2.924189865589141846e-01 2.887572646141052246e-01 2.851048409938812256e-01 2.815669178962707520e-01 2.781758904457092285e-01 2.749177217483520508e-01 2.717680931091308594e-01 2.687044739723205566e-01 2.657123208045959473e-01 2.627902030944824219e-01 2.599482536315917969e-01 2.572084069252014160e-01 2.546034455299377441e-01 2.521727383136749268e-01 2.499585449695587158e-01 2.480026781558990479e-01 2.463430911302566528e-01 2.450135499238967896e-01 2.440423518419265747e-01 2.434506416320800781e-01 1.216259002685546875e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.447049677371978760e-01 2.605002522468566895e-01 3.509084284305572510e-01 3.891451060771942139e-01 3.342411220073699951e-01 3.447329998016357422e-01 3.541725277900695801e-01 3.422200679779052734e-01 3.409419059753417969e-01 3.405889570713043213e-01 3.342323303222656250e-01 3.281162381172180176e-01 3.226539790630340576e-01 3.186523020267486572e-01 3.154979348182678223e-01 3.124741017818450928e-01 3.095785379409790039e-01 3.067133128643035889e-01 3.037375211715698242e-01 3.006452918052673340e-01 2.974278032779693604e-01 2.940836250782012939e-01 2.906673550605773926e-01 2.872562706470489502e-01 2.839141786098480225e-01 2.806721031665802002e-01 2.775357067584991455e-01 2.744995355606079102e-01 2.715556025505065918e-01 2.686987519264221191e-01 2.659317553043365479e-01 2.632659375667572021e-01 2.607195377349853516e-01 2.583186030387878418e-01 2.560942173004150391e-01 2.540797889232635498e-01 2.523082196712493896e-01 2.508105039596557617e-01 2.496143132448196411e-01 2.487424910068511963e-01 2.482121586799621582e-01 1.240170598030090332e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.682694405317306519e-01 3.092637956142425537e-01 3.799573779106140137e-01 3.343346118927001953e-01 3.485104143619537354e-01 3.598188757896423340e-01 3.485102057456970215e-01 3.479091823101043701e-01 3.486346602439880371e-01 3.444004356861114502e-01 3.415776193141937256e-01 3.388464748859405518e-01 3.344021439552307129e-01 3.295886516571044922e-01 3.250261545181274414e-01 3.210862874984741211e-01 3.176445364952087402e-01 3.144437670707702637e-01 3.113795220851898193e-01 3.083673417568206787e-01 3.053310811519622803e-01 3.022410571575164795e-01 2.990855276584625244e-01 2.958703339099884033e-01 2.926260828971862793e-01 2.893956899642944336e-01 2.862185537815093994e-01 2.831201851367950439e-01 2.801123857498168945e-01 2.771986424922943115e-01 2.743797004222869873e-01 2.716574966907501221e-01 2.690375447273254395e-01 2.665312588214874268e-01 2.641550302505493164e-01 2.619303464889526367e-01 2.598820030689239502e-01 2.580365538597106934e-01 2.564207911491394043e-01 2.550596594810485840e-01 2.539755702018737793e-01 2.531870603561401367e-01 2.527081966400146484e-01 1.262738108634948730e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.637108325958251953e-01 2.928864061832427979e-01 3.931065797805786133e-01 4.369217753410339355e-01 3.725457191467285156e-01 3.692534267902374268e-01 3.553606569766998291e-01 3.548195660114288330e-01 3.560499846935272217e-01 3.522434532642364502e-01 3.500150442123413086e-01 3.482209444046020508e-01 3.452016115188598633e-01 3.421375155448913574e-01 3.388791680335998535e-01 3.350146412849426270e-01 3.308910131454467773e-01 3.268425166606903076e-01 3.230763077735900879e-01 3.195970952510833740e-01 3.163181543350219727e-01 3.131675422191619873e-01 3.100840747356414795e-01 3.070183992385864258e-01 3.039429783821105957e-01 3.008470833301544189e-01 2.977336347103118896e-01 2.946203947067260742e-01 2.915332317352294922e-01 2.884970009326934814e-01 2.855315208435058594e-01 2.826497554779052734e-01 2.798587977886199951e-01 2.771643400192260742e-01 2.745719850063323975e-01 2.720892429351806641e-01 2.697280943393707275e-01 2.675030529499053955e-01 2.654318511486053467e-01 2.635349035263061523e-01 2.618339359760284424e-01 2.603505849838256836e-01 2.591051161289215088e-01 2.581157386302947998e-01 2.573976516723632812e-01 2.569620609283447266e-01 1.284080147743225098e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.658303141593933105e-01 2.963375151157379150e-01 3.963344693183898926e-01 4.375445842742919922e-01 3.751861453056335449e-01 3.867465257644653320e-01 3.970077633857727051e-01 3.803971707820892334e-01 3.716090619564056396e-01 3.635177314281463623e-01 3.597097992897033691e-01 3.574549257755279541e-01 3.544420897960662842e-01 3.517025411128997803e-01 3.490641713142395020e-01 3.460767865180969238e-01 3.429155647754669189e-01 3.395622670650482178e-01 3.359405994415283203e-01 3.321765661239624023e-01 3.284336030483245850e-01 3.248287737369537354e-01 3.213948011398315430e-01 3.181074559688568115e-01 3.149293065071105957e-01 3.118225336074829102e-01 3.087551593780517578e-01 3.057070076465606689e-01 3.026688396930694580e-01 2.996414601802825928e-01 2.966356575489044189e-01 2.936676740646362305e-01 2.907539308071136475e-01 2.879096269607543945e-01 2.851467728614807129e-01 2.824742197990417480e-01 2.798994481563568115e-01 2.774301767349243164e-01 2.750753760337829590e-01 2.728458344936370850e-01 2.707550525665283203e-01 2.688184976577758789e-01 2.670531272888183594e-01 2.654765248298645020e-01 2.641064524650573730e-01 2.629596590995788574e-01 2.620508074760437012e-01 2.613922953605651855e-01 2.609934210777282715e-01 1.304299235343933105e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.650935858488082886e-01 2.971169650554656982e-01 4.000714123249053955e-01 4.434622824192047119e-01 3.807731270790100098e-01 3.926169872283935547e-01 4.032793343067169189e-01 3.896189630031585693e-01 3.881423771381378174e-01 3.877538144588470459e-01 3.805553019046783447e-01 3.736600875854492188e-01 3.675356805324554443e-01 3.631021678447723389e-01 3.596636354923248291e-01 3.564020097255706787e-01 3.533131480216979980e-01 3.502853214740753174e-01 3.471564352512359619e-01 3.439163863658905029e-01 3.405522704124450684e-01 3.370569646358489990e-01 3.334894776344299316e-01 3.299339711666107178e-01 3.264575004577636719e-01 3.230897486209869385e-01 3.198297619819641113e-01 3.166607022285461426e-01 3.135614693164825439e-01 3.105133473873138428e-01 3.075020313262939453e-01 3.045209050178527832e-01 3.015708625316619873e-01 2.986579537391662598e-01 2.957926094532012939e-01 2.929871380329132080e-01 2.902531325817108154e-01 2.876012921333312988e-01 2.850401103496551514e-01 2.825781404972076416e-01 2.802240550518035889e-01 2.779865860939025879e-01 2.758766412734985352e-01 2.739060521125793457e-01 2.720882296562194824e-01 2.704375386238098145e-01 2.689687013626098633e-01 2.676963210105895996e-01 2.666341364383697510e-01 2.657941579818725586e-01 2.651865184307098389e-01 2.648188471794128418e-01 1.323478817939758301e-01
