nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.015859007835388184e-01 5.043119788169860840e-01 5.013630390167236328e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.026586651802062988e-01 5.080531835556030273e-01 5.130980014801025391e-01 5.137655138969421387e-01 5.089378952980041504e-01 5.020865797996520996e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.032418370246887207e-01 5.102250576019287109e-01 5.177167654037475586e-01 5.203446149826049805e-01 5.141103863716125488e-01 5.138758420944213867e-01 5.132740139961242676e-01 5.115699768066406250e-01 5.027623176574707031e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.047994852066040039e-01 5.158808231353759766e-01 5.231243371963500977e-01 5.173133015632629395e-01 5.180219411849975586e-01 5.181764960289001465e-01 5.162200331687927246e-01 5.152868628501892090e-01 5.144907236099243164e-01 5.136222839355468750e-01 5.033244490623474121e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.049651265144348145e-01 5.157017111778259277e-01 5.277204513549804688e-01 5.332569479942321777e-01 5.235686898231506348e-01 5.223923921585083008e-01 5.201039314270019531e-01 5.193384885787963867e-01 5.186918973922729492e-01 5.175940394401550293e-01 5.167202353477478027e-01 5.160065889358520508e-01 5.154469013214111328e-01 5.038094520568847656e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.053716301918029785e-01 5.170295834541320801e-01 5.300928354263305664e-01 5.360341072082519531e-01 5.260802507400512695e-01 5.271725654602050781e-01 5.279265642166137695e-01 5.250578522682189941e-01 5.232887268066406250e-01 5.216962099075317383e-01 5.206437706947326660e-01 5.197808742523193359e-01 5.189029574394226074e-01 5.181486010551452637e-01 5.175483226776123047e-01 5.171353816986083984e-01 5.042467117309570312e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.054911375045776367e-01 5.177126526832580566e-01 5.318912267684936523e-01 5.387800335884094238e-01 5.283222794532775879e-01 5.297539830207824707e-01 5.309143662452697754e-01 5.284421443939208984e-01 5.277532339096069336e-01 5.271545648574829102e-01 5.256406664848327637e-01 5.242003798484802246e-01 5.229104757308959961e-01 5.218714475631713867e-01 5.209964513778686523e-01 5.202164649963378906e-01 5.195596814155578613e-01 5.190520286560058594e-01 5.187227725982666016e-01 5.046519637107849121e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.075426101684570312e-01 5.253877043724060059e-01 5.380812287330627441e-01 5.293104648590087891e-01 5.316062569618225098e-01 5.333593487739562988e-01 5.310037732124328613e-01 5.305588245391845703e-01 5.302929878234863281e-01 5.291735529899597168e-01 5.282841324806213379e-01 5.273948907852172852e-01 5.262500047683715820e-01 5.250787138938903809e-01 5.239889025688171387e-01 5.230395793914794922e-01 5.222213864326477051e-01 5.215179920196533203e-01 5.209391713142395020e-01 5.205023288726806641e-01 5.202271938323974609e-01 5.050331950187683105e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.072392225265502930e-01 5.231324434280395508e-01 5.415486097335815430e-01 5.510900616645812988e-01 5.369864106178283691e-01 5.361241102218627930e-01 5.332680344581604004e-01 5.329429507255554199e-01 5.329038500785827637e-01 5.319322943687438965e-01 5.312317013740539551e-01 5.305855274200439453e-01 5.297210216522216797e-01 5.288466811180114746e-01 5.279421806335449219e-01 5.269567370414733887e-01 5.259601473808288574e-01 5.250167250633239746e-01 5.241672396659851074e-01 5.234242677688598633e-01 5.227915644645690918e-01 5.222780704498291016e-01 5.218963623046875000e-01 5.216597914695739746e-01 5.053948760032653809e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.074625611305236816e-01 5.238239169120788574e-01 5.425822138786315918e-01 5.518152117729187012e-01 5.380315780639648438e-01 5.403067469596862793e-01 5.423151850700378418e-01 5.387046933174133301e-01 5.367665290832519531e-01 5.350064635276794434e-01 5.340789556503295898e-01 5.334295630455017090e-01 5.326310396194458008e-01 5.318740606307983398e-01 5.311262011528015137e-01 5.303150415420532227e-01 5.294774174690246582e-01 5.286173820495605469e-01 5.277332663536071777e-01 5.268565416336059570e-01 5.260245800018310547e-01 5.252661108970642090e-01 5.245978236198425293e-01 5.240299701690673828e-01 5.235724449157714844e-01 5.232353210449218750e-01 5.230282545089721680e-01 5.057395696640014648e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.073797106742858887e-01 5.239208936691284180e-01 5.434104800224304199e-01 5.533754229545593262e-01 5.393594503402709961e-01 5.418332219123840332e-01 5.440918207168579102e-01 5.411022305488586426e-01 5.407116413116455078e-01 5.405195355415344238e-01 5.389094948768615723e-01 5.373752117156982422e-01 5.360097885131835938e-01 5.349794030189514160e-01 5.341358184814453125e-01 5.333219170570373535e-01 5.325368642807006836e-01 5.317615270614624023e-01 5.309711694717407227e-01 5.301696062088012695e-01 5.293614864349365234e-01 5.285541415214538574e-01 5.277666449546813965e-01 5.270223617553710938e-01 5.263420939445495605e-01 5.257412791252136230e-01 5.252313017845153809e-01 5.248219966888427734e-01 5.245219469070434570e-01 5.243385434150695801e-01 5.060691833496093750e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.099580883979797363e-01 5.336623787879943848e-01 5.508603453636169434e-01 5.394053459167480469e-01 5.428366065025329590e-01 5.456669330596923828e-01 5.428352355957031250e-01 5.426658987998962402e-01 5.428041815757751465e-01 5.417209267616271973e-01 5.409752130508422852e-01 5.402421355247497559e-01 5.391035079956054688e-01 5.378863811492919922e-01 5.367366075515747070e-01 5.357345342636108398e-01 5.348474383354187012e-01 5.340173244476318359e-01 5.332219600677490234e-01 5.324450731277465820e-01 5.316740274429321289e-01 5.309069752693176270e-01 5.301471948623657227e-01 5.294022560119628906e-01 5.286852121353149414e-01 5.280118584632873535e-01 5.273976922035217285e-01 5.268555283546447754e-01 5.263960957527160645e-01 5.260283350944519043e-01 5.257595777511596680e-01 5.255957245826721191e-01 5.063851475715637207e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.093647837638854980e-01 5.300137996673583984e-01 5.541700124740600586e-01 5.670614838600158691e-01 5.488287210464477539e-01 5.480372309684753418e-01 5.445351600646972656e-01 5.444328784942626953e-01 5.447619557380676270e-01 5.438175797462463379e-01 5.432589054107666016e-01 5.427963137626647949e-01 5.420252084732055664e-01 5.412377715110778809e-01 5.403991937637329102e-01 5.394161343574523926e-01 5.383760929107666016e-01 5.373593568801879883e-01 5.364129543304443359e-01 5.355367660522460938e-01 5.347113609313964844e-01 5.339215993881225586e-01 5.331562161445617676e-01 5.324077606201171875e-01 5.316743254661560059e-01 5.309582948684692383e-01 5.302659273147583008e-01 5.296066999435424805e-01 5.289919972419738770e-01 5.284334421157836914e-01 5.279417037963867188e-01 5.275259017944335938e-01 5.271937251091003418e-01 5.269515514373779297e-01 5.268041491508483887e-01 5.066886544227600098e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.095156431198120117e-01 5.304429531097412109e-01 5.546014308929443359e-01 5.667610168457031250e-01 5.492060184478759766e-01 5.524103641510009766e-01 5.553587079048156738e-01 5.509156584739685059e-01 5.486692786216735840e-01 5.466347336769104004e-01 5.457115173339843750e-01 5.451760888099670410e-01 5.444408059120178223e-01 5.437672138214111328e-01 5.431111454963684082e-01 5.423629283905029297e-01 5.415679812431335449e-01 5.407242178916931152e-01 5.398163795471191406e-01 5.388772487640380859e-01 5.379475951194763184e-01 5.370556116104125977e-01 5.362086892127990723e-01 5.354021787643432617e-01 5.346291661262512207e-01 5.338832736015319824e-01 5.331605076789855957e-01 5.324598550796508789e-01 5.317835807800292969e-01 5.311365723609924316e-01 5.305261015892028809e-01 5.299607515335083008e-01 5.294494032859802246e-01 5.290006995201110840e-01 5.286222696304321289e-01 5.283205509185791016e-01 5.281010270118713379e-01 5.279676914215087891e-01 5.069807171821594238e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.093141794204711914e-01 5.302368402481079102e-01 5.550068020820617676e-01 5.678658485412597656e-01 5.501943826675415039e-01 5.535410046577453613e-01 5.566797852516174316e-01 5.530499219894409180e-01 5.527864098548889160e-01 5.528113842010498047e-01 5.509774088859558105e-01 5.492399334907531738e-01 5.477166771888732910e-01 5.466366410255432129e-01 5.458093285560607910e-01 5.450217127799987793e-01 5.442724823951721191e-01 5.435335040092468262e-01 5.427649617195129395e-01 5.419661402702331543e-01 5.411357879638671875e-01 5.402745604515075684e-01 5.393985509872436523e-01 5.385294556617736816e-01 5.376843214035034180e-01 5.368710756301879883e-01 5.360906124114990234e-01 5.353407263755798340e-01 5.346189737319946289e-01 5.339237451553344727e-01 5.332550406455993652e-01 5.326150655746459961e-01 5.320079326629638672e-01 5.314394235610961914e-01 5.309160947799682617e-01 5.304450392723083496e-01 5.300331711769104004e-01 5.296867489814758301e-01 5.294111967086791992e-01 5.292110443115234375e-01 5.290895700454711914e-01 5.072622299194335938e-01
