nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.944282770156860352e-02 1.537728309631347656e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.406950950622558594e-02 2.716380357742309570e-02 1.775985956192016602e-02 7.340091466903686523e-02 2.744370698928833008e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.090604305267333984e-02 3.308761119842529297e-02 2.484250068664550781e-02 1.002780199050903320e-01 5.398970842361450195e-02 3.767746686935424805e-02 4.052132368087768555e-02 2.099663019180297852e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.650720119476318359e-02 4.478967189788818359e-02 1.192395687103271484e-01 6.968951225280761719e-02 5.491590499877929688e-02 6.530511379241943359e-02 5.083948373794555664e-02 3.843897581100463867e-02 3.001022338867187500e-02 1.602143049240112305e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.852720260620117188e-02 4.142558574676513672e-02 3.318405151367187500e-02 1.381021738052368164e-01 8.910739421844482422e-02 8.937025070190429688e-02 7.151532173156738281e-02 5.982637405395507812e-02 5.518722534179687500e-02 4.562407732009887695e-02 3.522866964340209961e-02 2.505916357040405273e-02 1.307892799377441406e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.287905693054199219e-02 4.362106323242187500e-02 3.469538688659667969e-02 1.414880752563476562e-01 8.541619777679443359e-02 7.289981842041015625e-02 9.396588802337646484e-02 8.416771888732910156e-02 7.761859893798828125e-02 6.717514991760253906e-02 5.768716335296630859e-02 4.999303817749023438e-02 4.124093055725097656e-02 3.179252147674560547e-02 2.191895246505737305e-02 1.123499870300292969e-02 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.497451782226562500e-02 4.628419876098632812e-02 3.733134269714355469e-02 1.493055820465087891e-01 9.053015708923339844e-02 7.689499855041503906e-02 9.759092330932617188e-02 8.585119247436523438e-02 7.903301715850830078e-02 8.069372177124023438e-02 7.597923278808593750e-02 6.976127624511718750e-02 6.187927722930908203e-02 5.375409126281738281e-02 4.585707187652587891e-02 3.755396604537963867e-02 2.878159284591674805e-02 1.958912611007690430e-02 9.942173957824707031e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.124093532562255859e-01 5.982184410095214844e-02 1.613819599151611328e-01 9.911561012268066406e-02 8.394646644592285156e-02 1.050128936767578125e-01 9.229874610900878906e-02 8.476328849792480469e-02 8.612942695617675781e-02 8.136534690856933594e-02 7.668721675872802734e-02 7.379662990570068359e-02 6.929385662078857422e-02 6.356835365295410156e-02 5.682682991027832031e-02 4.959285259246826172e-02 4.212725162506103516e-02 3.433638811111450195e-02 2.619075775146484375e-02 1.771366596221923828e-02 8.944749832153320312e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.121106147766113281e-01 5.322217941284179688e-02 4.360556602478027344e-02 1.808774471282958984e-01 1.202929019927978516e-01 1.244094371795654297e-01 1.048502922058105469e-01 9.432578086853027344e-02 9.450030326843261719e-02 8.888912200927734375e-02 8.373022079467773438e-02 8.079814910888671875e-02 7.679343223571777344e-02 7.255375385284423828e-02 6.851196289062500000e-02 6.383132934570312500e-02 5.839133262634277344e-02 5.226671695709228516e-02 4.566287994384765625e-02 3.872275352478027344e-02 3.147339820861816406e-02 2.393138408660888672e-02 1.612997055053710938e-02 8.123099803924560547e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.162571907043457031e-01 5.492973327636718750e-02 4.415369033813476562e-02 1.798806190490722656e-01 1.103942394256591797e-01 9.633803367614746094e-02 1.258537769317626953e-01 1.160633563995361328e-01 1.111128330230712891e-01 1.015503406524658203e-01 9.400558471679687500e-02 8.977317810058593750e-02 8.502697944641113281e-02 8.047080039978027344e-02 7.653880119323730469e-02 7.245635986328125000e-02 6.822264194488525391e-02 6.386613845825195312e-02 5.912828445434570312e-02 5.389881134033203125e-02 4.818582534790039062e-02 4.206955432891845703e-02 3.562736511230468750e-02 2.890324592590332031e-02 2.193135023117065430e-02 1.475173234939575195e-02 7.417678833007812500e-03 0.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.184706687927246094e-01 5.777645111083984375e-02 4.674100875854492188e-02 1.871104240417480469e-01 1.142368316650390625e-01 9.806776046752929688e-02 1.254134178161621094e-01 1.121356487274169922e-01 1.054983139038085938e-01 1.101362705230712891e-01 1.069939136505126953e-01 1.024279594421386719e-01 9.623241424560546875e-02 9.037399291992187500e-02 8.555984497070312500e-02 8.097457885742187500e-02 7.658696174621582031e-02 7.243013381958007812e-02 6.827044486999511719e-02 6.401467323303222656e-02 5.960142612457275391e-02 5.491685867309570312e-02 4.988980293273925781e-02 4.450821876525878906e-02 3.880214691162109375e-02 3.281390666961669922e-02 2.658092975616455078e-02 2.013897895812988281e-02 1.352792978286743164e-02 6.795883178710937500e-03 0.000000000000000000e+00
