nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.228525996208190918e+00 1.129640340805053711e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.856003284454345703e+00 1.727864384651184082e+00 1.545397877693176270e+00 1.327411651611328125e+00 1.160394906997680664e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.591613292694091797e+00 2.449801445007324219e+00 2.241814136505126953e+00 1.984142303466796875e+00 1.782191991806030273e+00 1.580917596817016602e+00 1.375327825546264648e+00 1.184527754783630371e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.169033050537109375e+00 2.996018886566162109e+00 2.733425378799438477e+00 2.515976667404174805e+00 2.291499137878417969e+00 2.056559324264526367e+00 1.835843801498413086e+00 1.620752811431884766e+00 1.408454298973083496e+00 1.202388167381286621e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.105281352996826172e+00 3.928226709365844727e+00 3.668321132659912109e+00 3.342047452926635742e+00 3.085598230361938477e+00 2.830092430114746094e+00 2.589180469512939453e+00 2.351645946502685547e+00 2.114752531051635742e+00 1.883870959281921387e+00 1.657795548439025879e+00 1.435348272323608398e+00 1.216570615768432617e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.083485603332519531e+00 4.897727012634277344e+00 4.624726772308349609e+00 4.282335758209228516e+00 4.011077880859375000e+00 3.734689235687255859e+00 3.445237398147583008e+00 3.174233675003051758e+00 2.912165880203247070e+00 2.659007310867309570e+00 2.411151885986328125e+00 2.166933774948120117e+00 1.927091956138610840e+00 1.691210150718688965e+00 1.458572626113891602e+00 1.228546023368835449e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.098890304565429688e+00 5.908941745758056641e+00 5.626424312591552734e+00 5.269243717193603516e+00 4.984969139099121094e+00 4.694117546081542969e+00 4.388257503509521484e+00 4.099059104919433594e+00 3.814120769500732422e+00 3.529979228973388672e+00 3.253933668136596680e+00 2.985329627990722656e+00 2.723530769348144531e+00 2.467020273208618164e+00 2.214738607406616211e+00 1.966352820396423340e+00 1.721380591392517090e+00 1.479186177253723145e+00 1.239040613174438477e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.858120918273925781e+00 6.633302211761474609e+00 6.288839340209960938e+00 6.001510143280029297e+00 5.701086997985839844e+00 5.382096767425537109e+00 5.078787326812744141e+00 4.778516769409179688e+00 4.477517604827880859e+00 4.182780265808105469e+00 3.892755270004272461e+00 3.606624841690063477e+00 3.326192140579223633e+00 3.051688432693481445e+00 2.782765865325927734e+00 2.518660068511962891e+00 2.258647918701171875e+00 2.002199888229370117e+00 1.748773336410522461e+00 1.497750878334045410e+00 1.248430371284484863e+00 1.000000000000000000e+00
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.055703163146972656e+00 7.831481456756591797e+00 7.500816345214843750e+00 7.082939624786376953e+00 6.752945899963378906e+00 6.421654224395751953e+00 6.107172966003417969e+00 5.794317245483398438e+00 5.479269504547119141e+00 5.169566631317138672e+00 4.863644123077392578e+00 4.560516357421875000e+00 4.261789798736572266e+00 3.967495203018188477e+00 3.677572488784790039e+00 3.392521381378173828e+00 3.112466335296630859e+00 2.837184429168701172e+00 2.566205978393554688e+00 2.298993110656738281e+00 2.035025596618652344e+00 1.773762106895446777e+00 1.514613509178161621e+00 1.256930112838745117e+00 1.000000000000000000e+00
