nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 0.9 0.8 0.7 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.8 0.7 0.8 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.8 0.8 0.8 0.8 nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.9 0.9 0.7 0.9 1.0 0.9 0.8 0.6 0.5 0.4 0.3 0.3 0.3 0.2 0.2
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.9 0.9 0.7 0.9 1.0 0.9 0.8 0.6 0.5 0.4 0.3 0.3 0.3 0.2 0.2
1.0 1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.8 0.8 0.8 0.8 nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 0.9 0.9 0.8 0.7 0.8 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.0 1.0 1.0 1.0 1.0 0.9 0.8 0.7 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
