61 0 0 0 39940526639702942432245406177448427520 0 0 0 0 0 0 0
0 -183428413098327081194789811453117333504 0 0 0 -196767281751035827810791688892124758016 0 0 72550733749399624956822472657731584 2 2 2
243624640512 721726795848549951506219008 50913634753832154558327652279203659776 0 513258605867993659635101197139968 0 3 2 2 2 2 2
6857139282427732005848308642742272 -302253761622523745743642588896796082176 519956480450547209612442908753920 4 3 3 3 2 2 2 2 2
24430728 5 4 4 3 3 3 2 2 2 2 2
6 5 4 4 3 3 3 2 2 2 2 2
6 5 4 4 3 3 3 2 2 2 2 2
0 5 4 4 3 3 3 2 2 2 2 2
0 18260893125050368 163883144675745960967176936488960 4 3 3 3 2 2 2 2 2
-463408850128757709686817494361178112 -769205896566800384 163885620555824531727726734737408 0 163961444383230761269564306096128 0 3 2 2 2 2 2
-117930 0 163886858495863817108001633861632 0 163963301293289689339976654782464 0 0 0 163888096435903102488276532985856 2 2 2
0 0 163889334375942387868551432110080 0 163965158203348617410389003468800 0 0 0 163890572315981673248826331234304 0 163966086658378081445595177811968 0
