  -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   0   18   36   54   72   90  108  126  144  162  180  198  216  234  252  270  288  306  324  342
   1   19   37   55   73   91  109  127  145  163  181  199  217  235  253  271  289  307  325  343
   2   20   38   56   74   92  110  128  146  164  182  200  218  236  254  272  290  308  326  344
   3   21   39   57   75   93  111  129  147  165  183  201  219  237  255  273  291  309  327  345
   4   22   40   58   76   94  112  130  148  166  184  202  220  238  256  274  292  310  328  346
   5   23   41   59   77   95  113  131  149  167  185  203  221  239  257  275  293  311  329  347
   6   24   42   60   78   96  114  132  150  168  186  204  222  240  258  276  294  312  330  348
   7   25   43   61   79   97  115  133  151  169  187  205  223  241  259  277  295  313  331  349
   8   26   44   62   80   98  116  134  152  170  188  206  224  242  260  278  296  314  332  350
   9   27   45   63   81   99  117  135  153  171  189  207  225  243  261  279  297  315  333  351
  10   28   46   64   82  100  118  136  154  172  190  208  226  244  262  280  298  316  334  352
  11   29   47   65   83  101  119  137  155  173  191  209  227  245  263  281  299  317  335  353
  12   30   48   66   84  102  120  138  156  174  192  210  228  246  264  282  300  318  336  354
  13   31   49   67   85  103  121  139  157  175  193  211  229  247  265  283  301  319  337  355
  14   32   50   68   86  104  122  140  158  176  194  212  230  248  266  284  302  320  338  356
  15   33   51   69   87  105  123  141  159  177  195  213  231  249  267  285  303  321  339  357
  16   34   52   70   88  106  124  142  160  178  196  214  232  250  268  286  304  322  340  358
  17   35   53   71   89  107  125  143  161  179  197  215  233  251  269  287  305  323  341  359
  -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
